"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"I461"," 11.079131"," 0.9925161","-0.5500062537"," 0.9539330"," 0.402063869"," 0.148401439"," 0.378792364","-0.0599624590","-0.0477027659"," 1.1093503"," 0.069836828"," 0.139917275","-1.2161650","-1.1548878","-1.9439688","-0.6003078"
"I111"," 10.526412"," 0.7314363","-0.0916829360"," 1.0957618"," 0.644082035"," 0.148189320"," 1.174588832","-0.0451474451"," 0.3443919490"," 0.6440935"," 0.601845054"," 0.177088201","-1.1614927","-1.6802914","-2.3600722","-0.2853930"
"I041","-10.022212","-0.6193269","-0.0287985082","-0.7194916","-0.574632517"," 0.150240220","-1.014511075"," 0.0856312524"," 0.3591220606","-1.4702907"," 0.665888748"," 0.305623400"," 1.3367128"," 1.3181721"," 2.2546332"," 0.6547025"
"I207"," 11.144632"," 0.9649148","-0.4442264961"," 0.7453378"," 0.078871754"," 0.043299371"," 0.218802456","-0.1658761059","-0.5810089708"," 1.6198754","-0.264698019","-0.076897568","-1.4723926","-0.9865168","-1.8832348","-0.6886319"
"I379"," 10.243695"," 0.8435374","-0.1865972481"," 0.5943752"," 0.242333072","-0.008294341"," 0.429689789","-0.2259917674","-0.4622979167"," 0.7678254","-0.769102048","-0.047147349","-0.9530602","-0.6190589","-1.2114587","-0.7408279"
"I052","-10.255463","-0.6181582"," 0.1611890950","-0.6249636","-0.551729671"," 0.045964181","-0.791284581"," 0.2343462008"," 0.2528557369","-1.3469014"," 0.435628729"," 0.249272989"," 1.3722580"," 1.2036100"," 2.1848070"," 0.6445197"
"I069","-10.317727","-0.6124322"," 0.8337114876","-0.8158710","-0.594382741"," 0.218965684","-0.310109291"," 0.3728946895"," 0.4841242872","-1.1363458"," 0.554226295","-0.825040376"," 0.8655768"," 0.8841935"," 1.2987344"," 0.6427769"
"I266","-10.155420","-1.1677424"," 0.2255706213","-0.8427483","-0.102293571","-0.273467645","-0.270417712"," 0.1103768516"," 0.2020095531","-0.9587087","-0.405045309"," 0.163350243"," 1.1336302"," 0.9849847"," 1.6638225"," 0.5229863"
"I060","-10.126098","-0.8199701"," 0.4686978136","-0.7705380","-0.218184107","-0.107136120","-0.179541742"," 0.1629059401"," 0.2238042833","-1.0323596","-0.104145689","-0.292310264"," 1.1025676"," 1.0052144"," 1.7027961"," 0.4389126"
"I319"," 10.488410"," 0.8324054","-0.0246869471"," 0.7523802"," 0.566958673","-0.039114382"," 1.008168093","-0.2093413017"," 0.0397143226"," 0.7429645"," 0.315049620"," 0.042991362","-1.1950827","-1.4898757","-2.1878445","-0.2126438"
"I432","-10.356739","-0.4673112"," 0.5953854279","-0.7979739","-0.742221618"," 0.225577699","-0.782874896"," 0.3992181225"," 0.4047017143","-1.2340843"," 0.745828992","-0.362795613"," 1.2865871"," 1.1065495"," 1.7492914"," 0.7917528"
"I279"," 10.674465"," 0.9363752","-0.2365080758"," 0.9028861"," 0.632699866"," 0.032839211"," 0.884083764","-0.0241226736"," 0.1619209442"," 0.8506630"," 0.383365983","-0.027005763","-1.3064941","-1.3451592","-2.2311633","-0.3590697"
"I262","-10.233855","-0.7618174","-0.0005079144","-0.5400307","-0.413385648","-0.071744926","-0.759422783"," 0.1700629192"," 0.1748013190","-1.3215529"," 0.162418378"," 0.512085128"," 1.4362331"," 1.2321490"," 2.3568745"," 0.6501892"
"I377"," 10.943131"," 0.7343519","-0.2925984636"," 1.1546243"," 0.541280660"," 0.200257487"," 0.777817161","-0.1039348645"," 0.1378722546"," 0.8782855"," 0.237117658"," 0.173848926","-1.1271403","-1.3638537","-2.1064082","-0.5691124"
"I141","-10.011804","-0.8413491","-0.2557427306","-0.6310929","-0.253982524","-0.070006871","-0.847488070","-0.0221177907"," 0.1633410833","-1.3515382"," 0.136271125"," 0.670135042"," 1.4524270"," 1.3604921"," 2.4777439"," 0.6126616"
"I323"," 11.058007"," 0.9219328","-0.3775436498"," 0.6689727"," 0.035173053","-0.011441589"," 0.096013465","-0.2169825603","-0.7036892262"," 1.6027303","-0.482873592","-0.138472834","-1.4436993","-0.8314459","-1.7237872","-0.6481983"
"I147"," 10.768434"," 0.7197251","-0.3414478755"," 0.9259923"," 0.472219150"," 0.107047167"," 0.412722358","-0.2669197916","-0.1395226590"," 0.8117876","-0.226314377"," 0.072006175","-0.9546900","-0.9398932","-1.6690830","-0.7140468"
"I354"," -9.965568","-0.6991318"," 0.0037393800","-0.7478349","-0.387468602","-0.002311111","-0.675926249"," 0.0204029297"," 0.2407338853","-1.2965266"," 0.310487829"," 0.224743479"," 1.3457525"," 1.2765026"," 2.2182163"," 0.5987215"
"I280","-10.083365","-1.1133331"," 0.0253473562","-1.0555030"," 0.074606716","-0.401756182","-0.444648432","-0.1115209962"," 0.1878205169","-1.0075750","-0.487823954"," 0.008734206"," 1.2485335"," 0.9242980"," 1.7518195"," 0.4275349"
"I182"," 10.805145"," 0.8012512","-0.1689614669"," 0.8748001"," 0.348325671"," 0.133068483"," 0.761029071","-0.1510525999","-0.0438964482"," 0.9991250"," 0.287889504"," 0.233514410","-1.2238993","-1.6678061","-2.2202619","-0.2120533"
"I190","-10.270502","-0.8065879"," 0.7332661903","-0.8798952","-0.311695759","-0.077810857","-0.115078779"," 0.3132126958"," 0.2783226410","-0.9097730","-0.012109900","-0.526715287"," 0.9863889"," 0.8213913"," 1.2803977"," 0.4326040"
"I311","-10.454746","-0.5644544"," 0.8990615882","-0.7459061","-0.651327864"," 0.335138984","-0.380010389"," 0.4205783506"," 0.5209781880","-1.2297040"," 0.685686733","-0.888658698"," 0.8561368"," 0.9163282"," 1.2929786"," 0.7087114"
"I110"," -9.964173","-1.0081219"," 0.2014741985","-0.9019978"," 0.129384351","-0.149897848","-0.251128055","-0.0743489390"," 0.1214008231","-0.9964177","-0.440210030"," 0.096783205"," 1.1708049"," 1.1518710"," 1.8516456"," 0.3233212"
"I504"," 10.381395"," 0.6974638","-0.2760372441"," 0.7783938"," 0.210166471"," 0.125380202"," 0.278842201","-0.3456622136","-0.4963056606"," 0.7751027","-0.736319937","-0.137066123","-1.0116685","-0.5308424","-1.1677140","-0.8268538"
"I254","-10.190982","-0.5830493"," 0.2195680885","-0.6426770","-0.643668610"," 0.189800858","-0.827477628"," 0.2197674166"," 0.3888083658","-1.3643809"," 0.668901798"," 0.037054356"," 1.2997681"," 1.2367392"," 2.0884040"," 0.7248453"
"I230","-10.432327","-0.5336416"," 0.8657072040","-0.6966090","-0.902645757"," 0.358678296","-0.534136969"," 0.5446402696"," 0.6052938871","-1.1630435"," 0.917666468","-0.749865148"," 0.9486830"," 0.9048441"," 1.2484551"," 0.8385553"
